date,type,price,quantity,cash_before,cash_after,holdings_before,holdings_after,portfolio_value
2025-07-24,BUY,256900.0,3.8906189178668744,1000000.0,0.0,0.0,3.8906189178668744,999500.0
2025-07-29,SELL,251900.0,3.8906189178668744,0.0,979556.8819579604,3.8906189178668744,0.0,979556.8819579604
2025-07-29,BUY,254000.0,3.8545948957361476,979556.8819579604,0.0,0.0,3.8545948957361476,979067.1035169815
2025-08-11,SELL,250200.0,3.8545948957361476,0.0,963937.4330917276,3.8545948957361476,0.0,963937.4330917276
2025-08-11,BUY,246100.0,3.9148942071319857,963937.4330917276,0.0,0.0,3.9148942071319857,963455.4643751817
2025-08-15,SELL,268000.0,3.9148942071319857,0.0,1048667.0516876164,3.9148942071319857,0.0,1048667.0516876164
2025-08-15,BUY,271900.0,3.8548831120329994,1048667.0516876164,0.0,0.0,3.8548831120329994,1048142.7181617726
2025-08-18,SELL,265700.0,3.8548831120329994,0.0,1023730.3216457345,3.8548831120329994,0.0,1023730.3216457345
2025-08-18,BUY,265700.0,3.851029192641745,1023730.3216457345,0.0,0.0,3.851029192641745,1023218.4564849116
2025-08-22,SELL,251500.0,3.851029192641745,0.0,968049.5750284243,3.851029192641745,0.0,968049.5750284243
2025-08-25,BUY,277200.0,3.4904962129902963,968049.5750284243,0.0,0.0,3.4904962129902963,967565.5502409101
2025-08-27,SELL,287300.0,3.4904962129902963,0.0,1002318.152211116,3.4904962129902963,0.0,1002318.152211116
2025-08-30,BUY,284600.0,3.5200878184645488,1002318.152211116,0.0,0.0,3.5200878184645488,1001816.9931350106
2025-09-03,SELL,291900.0,3.5200878184645488,0.0,1026999.8773926969,3.5200878184645488,0.0,1026999.8773926969
2025-09-05,BUY,284100.0,3.613116428912357,1026999.8773926969,0.0,0.0,3.613116428912357,1026486.3774540006
2025-09-08,SELL,289700.0,3.613116428912357,0.0,1046196.4695411819,3.613116428912357,0.0,1046196.4695411819
2025-09-14,BUY,336000.0,3.112123128888129,1046196.4695411819,0.0,0.0,3.112123128888129,1045673.3713064113
2025-09-18,SELL,342200.0,3.112123128888129,0.0,1064436.0504381652,3.112123128888129,0.0,1064436.0504381652
2025-09-20,BUY,331100.0,3.2132402066232144,1064436.0504381652,0.0,0.0,3.2132402066232144,1063903.8324129463
2025-09-24,SELL,297600.0,3.2132402066232144,0.0,955782.1553483232,3.2132402066232144,0.0,955782.1553483232
2025-10-01,BUY,309300.0,3.0886009190774297,955782.1553483232,0.0,0.0,3.0886009190774297,955304.2642706491
2025-10-04,SELL,325900.0,3.0886009190774297,0.0,1006071.7520075708,3.0886009190774297,0.0,1006071.7520075708
2025-10-04,BUY,327200.0,3.07325402240699,1006071.7520075708,0.0,0.0,3.07325402240699,1005568.7161315671
2025-10-10,SELL,312000.0,3.07325402240699,0.0,958375.8273634854,3.07325402240699,0.0,958375.8273634854
2025-10-27,BUY,301900.0,3.172893804073546,958375.8273634854,0.0,0.0,3.172893804073546,957896.6394498036
2025-10-27,SELL,299100.0,3.172893804073546,0.0,948538.0305299985,3.172893804073546,0.0,948538.0305299985
